Name,Description,Section,Assignee,Collaborators,Start Date,Due Date,Type,Dependents,Other information,Parent Task
 Seal Mechanical Fristam 3552/215B,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Motor Theo Halter GmbH Elektromotoren,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Unique Mixproof Welded DN 50/50,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Unique Mixproof Welded DN 40/40,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Pneumatic Macainox 3""DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Pneumatic Macainox 2""DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Pneumatic Ball SS Macainox 2""DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Mixproof Unique Mecainox 3-Body ISO-DN 100/110,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Mixproof Unique Mecainox 3-Body ISO-DN 76/76,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Butterfly w/ Actuator LKB-F ISO WELD-38,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Butterfly w/ Actuator LKB-F ISO WELD-51,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Manual Ball Mecainox 1""",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Manual Ball Mecainox 3/4""",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve Manual Ball SS Macainox 1""DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Non-Return LKC-2 ISO- SMS -51 EPDM,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
Valve Non-Return LKC-2 ISO- SMS -76 EPDM,,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve ButterFly Macainox 6""DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
"Valve ButterFly Macainox 4"" DIA",,FULLY SIGNED - FOR ENROLLMENT,j.allado@gmail.com,,7/1/2024,,,,,
LEMA 251 9Z BLU 4B : 20044252 - Guide disc,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 251 9Z BLU 4B : 20072583 - Vane wheel impeller assy,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 251 9Z BLU 4B : 65008395 -  basic repair kit,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 251 9Z BLU 4B : Level indicator LV-300  L=300,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 425 AZ AA1 4B : 20017164 -  guide disc assy,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 425 AZ AA1 4B : 20017131 - vane wheel impeller assy,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 425 AZ AA1 4B : 65007942 - basic repair kit,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
LEMA 251 9Z BLU 4B : Level indicator LV-300  L=500,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,7/25/2024,,,,,
Motor Sterling SIHI GmbH 8.0KW  1750RPM,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,8/5/2024,,,,,
Motor Sterling SIHI GmbH 18KW  1765RPM,,WAITING FOR QUOTATION,fc.tadena@gmail.com,,8/5/2024,,,,,
Heat Exchanger (AMM),,NOT STARTED,fc.tadena@gmail.com,,8/5/2024,,,,,
Heat Exchanger (MPLAN),,NOT STARTED,fc.tadena@gmail.com,,8/5/2024,,,,,
1M Green Coffee Transport Unimaster Dust Collector Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/22/2024,,,,,
1W Green Coffee Transport Unimaster Dust Collector Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/22/2024,,,,,
1Y Green Coffee Transport Unimaster Dust Collector Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/22/2024,,,,,
6M Green Coffee Transport Unimaster Dust Collector Inspection,,ON-GOING ROUTING/REVIEW (PHYSICAL),j.allado@gmail.com,,7/22/2024,,,,,
<all MPLAN>,,WAITING FOR OTHER DOCS,r.suello@gmail.com,,7/1/2024,,,,,
<all AMM>,,WAITING FOR OTHER DOCS,r.suello@gmail.com,,7/1/2024,,,,,
<all>,,NOT STARTED,fc.tadena@gmail.com,,7/1/2024,,,,,
<all>,,NOT STARTED,fc.tadena@gmail.com,,7/1/2024,,,,,
<Dosusign to inform stakeholders of the unnecessary MPLAN>,,WAITING FOR OTHER DOCS,r.suello@gmail.com,,7/1/2024,,,,,
<Dosusign to inform stakeholders of the unnecessary AMM>,,WAITING FOR OTHER DOCS,r.suello@gmail.com,,7/1/2024,,,,,
